"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"HOPE","1D07",70,"1/1/1977",0,0,NA,NA,NA,"January_1",NA
"MARBLE CANYON","2C05",1520,"1/1/1977",71,124,NA,78,17,"January_1",160
"SILVER STAR MOUNTAIN","2F10",1834,"1/1/1977",71,163,NA,45,23,"January_1",359
"MC LEOD LAKE","4A01",980,"1/1/1977",46,76,NA,84,17,"January_1",90
"GERMANSEN (LOWER)","4A17",750,"1/1/1977",36,46,NA,135,13,"January_1",34
"DEASE LAKE","4C03",805,"1/1/1977",41,79,NA,116,19,"January_1",68
"FORT NELSON AIRPORT","4C05",368,"1/1/1977",28,41,NA,72,15,"January_1",57
"VASEUX CREEK","2F20",1403,"1/2/1977",25,36,NA,64,14,"January_1",56
"HUDSON BAY MTN.","4B03",1520,"1/2/1977",89,236,NA,NA,27,"January_1",NA
"HUDSON BAY MTN.","4B03A",1452,"1/2/1977",84,226,NA,86,27,"January_1",264
"WOLVERINE CREEK","1D13",250,"1/3/1977",23,36,"A",59,16,"January_1",61
"MORRISSEY RIDGE","2C09",1860,"1/4/1977",61,112,NA,36,18,"January_1",315
"MOYIE MOUNTAIN","2C10",1940,"1/4/1977",41,76,"P",48,19,"January_1",158
"GREYBACK RESERVOIR","2F08",1548,"1/4/1977",33,56,NA,53,17,"January_1",106
"PINE PASS","4A02",1439,"1/4/1977",168,442,NA,71,26,"January_1",626
"LADY LAURIER LAKE","4A07",1446,"1/4/1977",81,193,NA,65,24,"January_1",295
"IPEC LAKE","4A08",1310,"1/4/1977",71,147,NA,77,21,"January_1",192
"SIKANNI LAKE","4C01",1390,"1/4/1977",61,132,NA,91,22,"January_1",145
"HARRY LAKE","1C26",1350,"1/5/1977",10,10,"A",26,10,"January_1",38
"CORNWALL HILLS","1C27",2000,"1/5/1977",25,43,NA,38,17,"January_1",114
"FERNIE","2C02",1070,"1/5/1977",13,18,NA,24,14,"January_1",76
"FERNIE (NE)","2C02A",1070,"1/5/1977",15,23,NA,22,15,"January_1",103
"FERNIE EAST","2C07",1213,"1/5/1977",28,28,NA,21,10,"January_1",132
"DOWNIE SLIDE (LOWER)","2A27",964,"1/6/1977",79,208,NA,70,26,"January_1",298
"DOWNIE(S8)","2A28",1250,"1/6/1977",91,244,NA,NA,27,"January_1",NA
"MOUNT REVELSTOKE","2A06",1830,"1/22/1977",163,444,"B",54,27,"February_1",827
"LYTTON","1C16",270,"1/23/1977",0,0,NA,0,NA,"February_1",2
"GERMANSEN (LOWER)","4A17",750,"1/23/1977",43,76,NA,127,18,"February_1",60
"MOUNT SAINT ANNE","1E11",1770,"1/24/1977",127,396,"B",62,31,"February_1",643
"NAZKO","1C08",1029,"1/25/1977",18,43,NA,75,24,"February_1",57
"TRIPP MEADOWS","3B06",820,"1/25/1977",0,0,NA,0,NA,"February_1",70
"MONASHEE PASS","2E01",1387,"1/26/1977",71,173,NA,73,24,"February_1",236
"HARRY LAKE","1C26",1350,"1/26/1977",18,25,NA,57,14,"February_1",44
"CORNWALL HILLS","1C27",2000,"1/26/1977",36,66,NA,42,18,"February_1",158
"STAVE LAKE","1D08",1211,"1/26/1977",56,163,NA,19,29,"February_1",881
"WAHLEACH LAKE","1D09",1395,"1/26/1977",38,140,NA,38,37,"February_1",364
"NAHATLATCH RIVER","1D10",1530,"1/26/1977",86,262,NA,31,30,"February_1",833
"PARK MOUNTAIN","1F03",1890,"1/26/1977",127,371,NA,57,29,"February_1",652
"BARNES CREEK","2B06",1598,"1/26/1977",97,254,NA,71,26,"February_1",360
"KOCH CREEK","2B07",1813,"1/26/1977",81,203,NA,41,25,"February_1",497
"ST. LEON CREEK","2B08",1828,"1/26/1977",152,503,NA,59,33,"February_1",848
"FERNIE (NE)","2C02A",1070,"1/26/1977",18,25,"A",15,14,"February_1",164
"MORRISSEY RIDGE","2C09",1860,"1/26/1977",74,185,NA,44,25,"February_1",421
"MISSION RIDGE","1C18",1850,"1/27/1977",63,163,NA,44,26,"February_1",374
"BOSTON BAR CREEK (UPPER)","1D11",1340,"1/27/1977",91,264,NA,39,29,"February_1",685
"BOSTON BAR CREEK (LOWER)","1D12",1230,"1/27/1977",71,206,NA,50,29,"February_1",414
"FARRON","2B02",1220,"1/27/1977",36,63,NA,23,18,"February_1",269
"FARRON","2B02A",1229,"1/27/1977",36,63,NA,29,18,"February_1",219
"FERNIE EAST","2C07",1213,"1/27/1977",33,51,NA,24,15,"February_1",212
"DUNCAN LAKE","2D07",650,"1/27/1977",25,56,NA,56,22,"February_1",100
"OYAMA LAKE","2F19",1365,"1/27/1977",36,66,NA,55,18,"February_1",119
"BLACKWALL PEAK","2G03",1940,"1/27/1977",66,185,NA,34,28,"February_1",541
"HAMILTON HILL","2G06",1477,"1/27/1977",46,104,NA,49,23,"February_1",213
"WARE (UPPER)","4A03",1563,"1/27/1977",63,157,NA,85,25,"February_1",184
"WARE (LOWER)","4A04",969,"1/27/1977",46,104,NA,73,23,"February_1",143
"GERMANSEN (UPPER)","4A05",1489,"1/27/1977",71,152,NA,64,21,"February_1",237
"LADY LAURIER LAKE","4A07",1446,"1/27/1977",91,226,NA,61,25,"February_1",369
"IPEC LAKE","4A08",1310,"1/27/1977",86,193,NA,82,22,"February_1",234
"TSAYDAYCHI LAKE","4A12",1173,"1/27/1977",84,185,NA,67,22,"February_1",277
"PHILIP LAKE","4A13",1013,"1/27/1977",58,124,NA,62,21,"February_1",199
"MOUNT STEARNS","4A21",1514,"1/27/1977",36,56,NA,54,16,"February_1",103
"SIKANNI LAKE","4C01",1390,"1/27/1977",74,152,NA,79,21,"February_1",193
"TELEGRAPH CREEK","4D01",490,"1/27/1977",51,112,NA,102,22,"February_1",110
"MCBRIDE (UPPER)","1A02",1590,"1/28/1977",104,284,NA,103,27,"February_1",276
"KAZA LAKE","1A12",1247,"1/28/1977",86,193,NA,80,22,"February_1",240
"MCBRIDE (MIDDLE)","1A20",1160,"1/28/1977",94,274,NA,122,29,"February_1",225
"MCBRIDE (LOWER)","1A22",790,"1/28/1977",56,137,NA,128,24,"February_1",107
"SKINS LAKE","1B05",877,"1/28/1977",36,71,NA,86,20,"February_1",83
"GREEN MOUNTAIN","1C12",1630,"1/28/1977",56,119,NA,28,21,"February_1",424
"WOLVERINE CREEK","1D13",250,"1/28/1977",15,30,"A",32,20,"February_1",94
"FERNIE","2C02",1070,"1/28/1977",13,18,NA,14,14,"February_1",128
"UPPER ELK RIVER","2C06",1340,"1/28/1977",13,25,NA,32,19,"February_1",77
"FERGUSON","2D02",929,"1/28/1977",94,259,NA,64,28,"February_1",407
"NELSON","2D04",952,"1/28/1977",48,79,NA,30,16,"February_1",264
"TROUT CREEK","2F01",1428,"1/28/1977",36,61,NA,48,17,"February_1",127
"MISSION CREEK","2F05",1780,"1/28/1977",81,198,NA,58,24,"February_1",342
"BRENDA MINE","2F18",1453,"1/28/1977",46,84,NA,42,18,"February_1",200
"PEARSON CREEK","2F22",940,"1/28/1977",48,112,NA,100,23,"February_1",112
"MACDONALD LAKE","2F23",1742,"1/28/1977",58,132,NA,48,23,"February_1",273
"SUNDAY SUMMIT","2G01A",1310,"1/28/1977",20,28,NA,29,14,"February_1",97
"CALLAGHAN CREEK","3A20",1009,"1/28/1977",30,99,NA,18,33,"February_1",542
"FORBIDDEN PLATEAU","3B01",1110,"1/28/1977",33,97,NA,11,29,"February_1",922
"LABOUR DAY LAKE","3B03",1020,"1/28/1977",0,0,NA,NA,NA,"February_1",NA
"ELK RIVER","3B04",270,"1/28/1977",0,0,NA,0,NA,"February_1",61
"UPPER THELWOOD LAKE","3B10",1014,"1/28/1977",20,43,NA,15,22,"February_1",285
"WOLF RIVER (UPPER)","3B17",1490,"1/28/1977",28,51,NA,6,18,"February_1",808
"WOLF RIVER (MIDDLE)","3B18",1050,"1/28/1977",13,20,NA,5,15,"February_1",400
"WOLF RIVER (LOWER)","3B19",615,"1/28/1977",10,20,"A",8,20,"February_1",244
"PINE PASS","4A02",1439,"1/28/1977",175,584,NA,71,33,"February_1",827
"TUTIZZI LAKE","4A06",1043,"1/28/1977",63,127,NA,68,20,"February_1",186
"PULPIT LAKE","4A09",1331,"1/28/1977",97,234,NA,75,24,"February_1",312
"FREDRICKSON LAKE","4A10",1323,"1/28/1977",71,150,NA,84,21,"February_1",179
"TRYGVE LAKE","4A11",1409,"1/28/1977",86,206,NA,78,24,"February_1",264
"JOHANSON LAKE","4B02",1480,"1/28/1977",71,163,NA,77,23,"February_1",211
"HUDSON BAY MTN.","4B03",1520,"1/28/1977",112,330,NA,NA,29,"February_1",NA
"HUDSON BAY MTN.","4B03A",1452,"1/28/1977",109,317,NA,88,29,"February_1",361
"SUMMIT LAKE","4C02",1291,"1/28/1977",36,79,NA,87,22,"February_1",91
"BIG WHITE MOUNTAIN","2E03",1672,"1/29/1977",69,183,NA,57,27,"February_1",322
"MOUNT ALBREDA","1E04",1920,"1/29/1977",104,302,NA,61,29,"February_1",494
"TRAPPING CR (UPPER)","2E04",1360,"1/29/1977",51,112,NA,71,22,"February_1",157
"TRAPPING CREEK (LOWER)","2E05",930,"1/29/1977",30,56,NA,64,19,"February_1",87
"COOK FORKS","1E06",1390,"1/29/1977",130,386,NA,64,30,"February_1",604
"YELLOWHEAD","1A01",1860,"1/29/1977",91,244,NA,72,27,"February_1",339
"TAHTSA LAKE","1B02",1319,"1/29/1977",173,551,NA,65,32,"February_1",853
"MCGILLIVRAY PASS","1C05",1715,"1/29/1977",74,157,NA,40,21,"February_1",397
"BRALORNE","1C14",1382,"1/29/1977",0,0,NA,0,NA,"February_1",125
"MOUNT COOK","1E02A",1580,"1/29/1977",160,536,NA,63,34,"February_1",854
"GOLDSTREAM","2A16",1914,"1/29/1977",152,460,NA,56,30,"February_1",816
"KEYSTONE CREEK","2A18",1839,"1/29/1977",104,290,NA,53,28,"February_1",548
"MOLSON CREEK","2A21",1980,"1/29/1977",170,577,NA,76,34,"February_1",762
"SUNBEAM LAKE","2A22",2066,"1/29/1977",147,455,NA,72,31,"February_1",629
"BUSH RIVER","2A23",1982,"1/29/1977",140,427,NA,74,31,"February_1",577
"KIRBYVILLE LAKE","2A25",1739,"1/29/1977",130,381,NA,46,29,"February_1",827
"REVELSTOKE","2B01",560,"1/29/1977",48,107,NA,56,22,"February_1",190
"RECORD MOUNTAIN","2B09",1906,"1/29/1977",48,117,NA,24,24,"February_1",481
"SUMMERLAND RESERVOIR","2F02",1304,"1/29/1977",36,66,NA,42,18,"February_1",156
"CARRS LANDING (UPPER)","2F17",980,"1/29/1977",20,41,"A",NA,21,"February_1",NA
"MISSEZULA MOUNTAIN","2G05",1602,"1/29/1977",33,61,NA,42,18,"February_1",144
"TATLAYOKO LAKE","3A13",1710,"1/29/1977",48,91,NA,48,19,"February_1",188
"KIDPRICE LAKE","4B01",1415,"1/29/1977",163,526,NA,79,32,"February_1",664
"CARMI","2E02",1254,"1/30/1977",33,56,NA,58,17,"February_1",97
"ATLIN LAKE","4E02",730,"1/30/1977",33,71,NA,NA,22,"February_1",NA
"BARKERVILLE","1A03",1520,"1/30/1977",74,198,NA,80,27,"February_1",248
"FORT ST.JAMES","1A07",810,"1/30/1977",53,102,NA,NA,19,"February_1",NA
"BOSS MTN. MINE","1C20",1500,"1/30/1977",102,241,NA,60,24,"February_1",402
"TENQUILLE LAKE","1D06",1680,"1/30/1977",99,241,NA,32,24,"February_1",755
"MICA CREEK","2A15",560,"1/30/1977",97,305,NA,79,31,"February_1",388
"MCCULLOCH","2F03",1266,"1/30/1977",38,66,NA,56,17,"February_1",117
"SILVER STAR MOUNTAIN","2F10",1834,"1/30/1977",94,229,NA,46,24,"February_1",498
"ISINTOK LAKE","2F11",1651,"1/30/1977",28,43,NA,39,15,"February_1",109
"VASEUX CREEK","2F20",1403,"1/30/1977",33,56,NA,64,17,"February_1",87
"SNO-BIRD LAKE","3B16",1400,"1/30/1977",13,51,NA,7,39,"February_1",710
"MC LEOD LAKE","4A01",980,"1/30/1977",58,114,NA,70,20,"February_1",162
"NINGUNSAW PASS","4B10",647,"1/30/1977",107,272,NA,87,25,"February_1",312
"TERRACE A","4B13",1805,"1/30/1977",36,48,NA,62,13,"February_1",77
"STANLEY CREEK","4E03",930,"1/31/1977",79,231,NA,138,29,"February_1",167
"KNOUFF LAKE","1E05",1189,"1/31/1977",18,38,NA,35,21,"February_1",109
"LONGWORTH (UPPER)","1A05",1693,"1/31/1977",140,447,NA,80,32,"February_1",559
"HANSARD","1A06",590,"1/31/1977",74,147,NA,66,20,"February_1",224
"HANSARD","1A06A",622,"1/31/1977",61,142,NA,79,23,"February_1",180
"PRINCE GEORGE AIRPORT","1A10",684,"1/31/1977",43,86,NA,90,20,"February_1",96
"PACIFIC LAKE","1A11",756,"1/31/1977",130,356,NA,83,27,"February_1",430
"HEDRICK LAKE","1A14",1113,"1/31/1977",150,452,NA,94,30,"February_1",479
"KNUDSEN LAKE","1A15",1598,"1/31/1977",157,521,NA,94,33,"February_1",554
"REVOLUTION CREEK","1A17",1690,"1/31/1977",157,526,NA,85,34,"February_1",622
"BROOKMERE","1C01",994,"1/31/1977",25,58,NA,41,23,"February_1",142
"LAC LE JEUNE (LOWER)","1C07",1370,"1/31/1977",15,25,NA,34,17,"February_1",74
"GNAWED MOUNTAIN","1C19",1617,"1/31/1977",10,18,NA,24,18,"February_1",76
"BIG CREEK","1C21",1130,"1/31/1977",18,36,NA,73,20,"February_1",49
"LAC LE JEUNE (UPPER)","1C25",1471,"1/31/1977",10,18,NA,18,18,"February_1",98
"HOPE","1D07",70,"1/31/1977",0,0,NA,NA,NA,"February_1",NA
"ABERDEEN LAKE","1F01A",1262,"1/31/1977",36,69,NA,64,19,"February_1",107
"HADDO LAKE","1F01B",1300,"1/31/1977",25,41,NA,47,16,"February_1",88
"ENDERBY","1F04",1948,"1/31/1977",124,371,NA,54,30,"February_1",688
"CANOE RIVER","2A01A",866,"1/31/1977",25,56,NA,76,22,"February_1",74
"GLACIER","2A02",1249,"1/31/1977",122,414,NA,88,34,"February_1",468
"FIELD","2A03A",1310,"1/31/1977",48,132,NA,107,28,"February_1",123
"KICKING HORSE","2A07",1648,"1/31/1977",84,239,NA,105,28,"February_1",227
"BEAVERFOOT","2A11",1924,"1/31/1977",41,81,NA,57,20,"February_1",142
"MOUNT ABBOT","2A14",2031,"1/31/1977",157,521,NA,63,33,"February_1",822
"FIDELITY MOUNTAIN","2A17",1852,"1/31/1977",183,643,NA,75,35,"February_1",854
"VERMONT CREEK","2A19",1533,"1/31/1977",56,102,NA,36,18,"February_1",287
"BUGABOO CREEK","2A26",1510,"1/31/1977",46,79,NA,31,17,"February_1",253
"DOWNIE SLIDE (LOWER)","2A27",964,"1/31/1977",91,264,NA,53,29,"February_1",501
"DOWNIE(S8)","2A28",1250,"1/31/1977",94,295,NA,NA,31,"February_1",NA
"MARBLE CANYON","2C05",1520,"1/31/1977",76,221,NA,92,29,"February_1",240
"MOYIE MOUNTAIN","2C10",1940,"1/31/1977",51,127,NA,48,25,"February_1",267
"VERMILION RIVER NO.3","2C20",1612,"1/31/1977",66,147,NA,78,22,"February_1",188
"VERMILION RIVER NO.4","2C21",1680,"1/31/1977",74,180,NA,NA,24,"February_1",NA
"VERMILION RIVER NO.5","2C22",1570,"1/31/1977",66,188,NA,NA,28,"February_1",NA
"GRAY CREEK (LOWER)","2D05",1558,"1/31/1977",61,127,NA,42,21,"February_1",304
"EAST CREEK","2D08",2030,"1/31/1977",119,343,NA,55,29,"February_1",629
"MOUNT TEMPLEMAN","2D09",1879,"1/31/1977",147,452,NA,64,31,"February_1",701
"GRAY CREEK (UPPER)","2D10",1926,"1/31/1977",99,277,NA,56,28,"February_1",497
"POSTILL LAKE","2F07",1358,"1/31/1977",48,91,NA,66,19,"February_1",138
"GREYBACK RESERVOIR","2F08",1548,"1/31/1977",41,81,NA,52,20,"February_1",157
"WHITEROCKS MOUNTAIN","2F09",1789,"1/31/1977",53,135,NA,37,25,"February_1",366
"MOUNT KOBAU","2F12",1817,"1/31/1977",25,43,NA,22,17,"February_1",196
"GROUSE MOUNTAIN","3A01",1126,"1/31/1977",28,63,NA,8,23,"February_1",761
"MOUNT SEYMOUR","3A15",1070,"1/31/1977",30,41,NA,4,14,"February_1",915
"NEWCASTLE RIDGE","3B14",1170,"1/31/1977",43,155,NA,16,36,"February_1",985
"WEDEENE RIVER","3C04",340,"1/31/1977",66,183,NA,106,28,"February_1",173
"NEW TASHME","3D01A",700,"1/31/1977",23,51,NA,40,22,"February_1",126
"KLESILKWA","3D03A",1134,"1/31/1977",3,10,NA,6,33,"February_1",180
"PINK MOUNTAIN","4A14",1170,"1/31/1977",20,25,NA,41,13,"February_1",61
"MOUNT SHEBA","4A18",1480,"1/31/1977",132,399,NA,70,30,"February_1",566
"MACKENZIE AIRPORT","4A19",700,"1/31/1977",56,58,NA,34,10,"February_1",172
"MONKMAN CREEK","4A20",1566,"1/31/1977",102,315,NA,84,31,"February_1",376
"BEATTON RIVER","4A23",820,"1/31/1977",23,56,NA,92,24,"February_1",61
"FORT ST. JOHN AIRPORT","4A25",692,"1/31/1977",46,109,NA,136,24,"February_1",80
"PORTAGE MOUNTAIN","4A26",760,"1/31/1977",36,66,NA,79,18,"February_1",84
"GRANDUC MINE","4B12",790,"1/31/1977",274,1092,NA,114,40,"February_1",960
"CASSIAR","4C04",1390,"1/31/1977",99,236,NA,91,24,"February_1",260
"ISKUT","4D02",931,"1/31/1977",48,79,NA,96,16,"February_1",82
"BLUE RIVER","1E01",690,"2/1/1977",63,152,NA,NA,24,"February_1",NA
"BURNS LAKE","1A16",820,"2/1/1977",48,97,NA,87,20,"February_1",111
"HIGHLAND VALLEY","1C09A",1457,"2/1/1977",10,20,NA,30,20,"February_1",67
"PUNTZI MOUNTAIN","1C22",939,"2/1/1977",33,74,NA,142,22,"February_1",52
"BLUE RIVER TOWN","1E01A",670,"2/1/1977",61,147,NA,62,24,"February_1",238
"WHATSHAN (UPPER)","2B05",1476,"2/1/1977",89,249,NA,52,28,"February_1",475
"SINCLAIR PASS","2C01",1374,"2/1/1977",25,33,NA,43,13,"February_1",77
"SULLIVAN MINE","2C04",1580,"2/1/1977",33,46,NA,25,14,"February_1",187
"KIMBERLEY (UPPER) VOR","2C11",2148,"2/1/1977",56,114,NA,39,20,"February_1",290
"KIMBERLEY (MIDDLE) VOR","2C12",1692,"2/1/1977",38,81,NA,47,21,"February_1",174
"KIMBERLEY (LOWER) VOR","2C13",1370,"2/1/1977",25,58,NA,45,23,"February_1",129
"FLOE LAKE","2C14",2087,"2/1/1977",112,300,NA,58,27,"February_1",517
"MOUNT ASSINIBOINE","2C15",2230,"2/1/1977",81,170,NA,48,21,"February_1",351
"MOUNT JOFFRE","2C16",1763,"2/1/1977",53,107,NA,45,20,"February_1",240
"THUNDER CREEK","2C17",2062,"2/1/1977",41,69,NA,39,17,"February_1",175
"CHAR CREEK","2D06",1290,"2/1/1977",53,117,NA,32,22,"February_1",371
"WHISTLER MOUNTAIN","3A16",1450,"2/1/1977",38,86,NA,24,23,"February_1",362
"MORFEE MOUNTAIN","4A16",1427,"2/1/1977",119,323,NA,54,27,"February_1",597
"DEASE LAKE","4C03",805,"2/1/1977",61,135,NA,134,22,"February_1",101
"FORT NELSON AIRPORT","4C05",368,"2/1/1977",41,81,NA,107,20,"February_1",76
"PAVILION","1C06",1209,"2/2/1977",8,15,NA,31,19,"February_1",49
"MOUNT TIMOTHY","1C17",1632,"2/3/1977",56,137,NA,62,24,"February_1",221
"BEAR PASS","4B11",460,"2/3/1977",135,396,NA,107,29,"February_1",369
"LOST HORSE MOUNTAIN","2G04",1988,"2/4/1977",46,84,"A",60,18,"February_1",139
"MOUNT ALBREDA","1E04",1920,"2/23/1977",132,358,NA,59,27,"March_1",611
"AZURE RIVER","1E08",1620,"2/23/1977",185,571,NA,63,31,"March_1",911
"KOSTAL LAKE","1E10",1770,"2/23/1977",165,483,NA,71,29,"March_1",680
"LONGWORTH (LOWER)","1A13",1230,"2/23/1977",48,132,NA,52,28,"March_1",252
"HOLMES RIVER","1A18",1900,"2/23/1977",168,488,NA,83,29,"March_1",591
"DOME MOUNTAIN","1A19",1766,"2/23/1977",173,531,NA,87,31,"March_1",613
"NAZKO","1C08",1029,"2/23/1977",0,0,NA,0,NA,"March_1",64
"HARRY LAKE","1C26",1350,"2/23/1977",15,30,NA,39,20,"March_1",76
"CORNWALL HILLS","1C27",2000,"2/23/1977",41,76,NA,38,19,"March_1",202
"STAVE LAKE","1D08",1211,"2/23/1977",127,353,NA,30,28,"March_1",1178
"WAHLEACH LAKE","1D09",1395,"2/23/1977",74,211,NA,45,29,"March_1",468
"NAHATLATCH RIVER","1D10",1530,"2/23/1977",152,450,NA,41,30,"March_1",1092
"LYFORD MOUNTAIN","3B12",910,"2/23/1977",0,0,NA,NA,NA,"March_1",NA
"HEATHER MOUNTAIN","3B13",1170,"2/23/1977",18,38,NA,7,21,"March_1",530
"BRADEN RIVER","3C05",300,"2/23/1977",0,0,NA,NA,NA,"March_1",NA
"LINK LAKE","3C06",700,"2/23/1977",0,0,NA,NA,NA,"March_1",NA
"KLESILKWA","3D03A",1134,"2/23/1977",5,8,"A",4,16,"March_1",228
"MONASHEE PASS","2E01",1387,"2/24/1977",84,224,NA,79,27,"March_1",282
"NARROW LAKE","1A21",1650,"2/24/1977",178,584,NA,77,33,"March_1",759
"MOUNT WELLS","1B01",1489,"2/24/1977",124,366,NA,81,30,"March_1",452
"TAHTSA LAKE","1B02",1319,"2/24/1977",226,696,NA,67,31,"March_1",1034
"SKINS LAKE","1B05",877,"2/24/1977",36,81,NA,79,23,"March_1",103
"MCGILLIVRAY PASS","1C05",1715,"2/24/1977",112,249,NA,51,22,"March_1",492
"FRENCH SNOWSHOE","1C10",1580,"2/24/1977",175,544,"A",92,31,"March_1",591
"BRALORNE","1C14",1382,"2/24/1977",0,0,NA,0,NA,"March_1",149
"PENFOLD CREEK","1C23",1687,"2/24/1977",180,544,NA,67,30,"March_1",807
"YANKS PEAK","1C24",1710,"2/24/1977",157,472,NA,69,30,"March_1",685
"BOSTON BAR CREEK (UPPER)","1D11",1340,"2/24/1977",122,351,NA,38,29,"March_1",919
"BOSTON BAR CREEK (LOWER)","1D12",1230,"2/24/1977",89,292,NA,50,33,"March_1",580
"PARK MOUNTAIN","1F03",1890,"2/24/1977",183,523,NA,68,29,"March_1",771
"MOUNT REVELSTOKE","2A06",1830,"2/24/1977",213,630,NA,62,30,"March_1",1024
"WHATSHAN (UPPER)","2B05",1476,"2/24/1977",124,351,NA,62,28,"March_1",570
"BARNES CREEK","2B06",1598,"2/24/1977",117,315,NA,74,27,"March_1",428
"KOCH CREEK","2B07",1813,"2/24/1977",104,269,NA,45,26,"March_1",601
"ST. LEON CREEK","2B08",1828,"2/24/1977",218,660,NA,64,30,"March_1",1031
"FERNIE (NE)","2C02A",1070,"2/24/1977",13,46,NA,23,35,"March_1",201
"MOYIE MOUNTAIN","2C10",1940,"2/24/1977",66,150,NA,43,23,"March_1",346
"FERGUSON","2D02",929,"2/24/1977",109,351,NA,70,32,"March_1",502
"BLACKWALL PEAK","2G03",1940,"2/24/1977",81,216,NA,33,27,"March_1",650
"HAMILTON HILL","2G06",1477,"2/24/1977",58,127,NA,48,22,"March_1",267
"PALISADE LAKE","3A09",898,"2/24/1977",38,135,NA,12,36,"March_1",1106
"ORCHID LAKE","3A19",1178,"2/24/1977",135,444,NA,30,33,"March_1",1467
"WARE (UPPER)","4A03",1563,"2/24/1977",79,185,NA,84,23,"March_1",220
"WARE (LOWER)","4A04",969,"2/24/1977",56,147,NA,88,26,"March_1",167
"GERMANSEN (UPPER)","4A05",1489,"2/24/1977",94,229,NA,78,24,"March_1",293
"LADY LAURIER LAKE","4A07",1446,"2/24/1977",114,290,NA,64,25,"March_1",452
"IPEC LAKE","4A08",1310,"2/24/1977",104,264,NA,92,25,"March_1",287
"TSAYDAYCHI LAKE","4A12",1173,"2/24/1977",109,259,NA,76,24,"March_1",340
"PHILIP LAKE","4A13",1013,"2/24/1977",81,185,NA,76,23,"March_1",242
"MOUNT STEARNS","4A21",1514,"2/24/1977",41,61,NA,49,15,"March_1",124
"BEATTON RIVER","4A23",820,"2/24/1977",33,58,"A",73,18,"March_1",79
"KIDPRICE LAKE","4B01",1415,"2/24/1977",185,617,NA,76,33,"March_1",817
"SIKANNI LAKE","4C01",1390,"2/24/1977",86,201,NA,84,23,"March_1",238
"MCBRIDE (UPPER)","1A02",1590,"2/25/1977",114,312,NA,92,27,"March_1",338
"BOWRON LAKE","1A08",1280,"2/25/1977",51,132,NA,102,26,"March_1",129
"KAZA LAKE","1A12",1247,"2/25/1977",112,264,NA,89,24,"March_1",295
"MCBRIDE (MIDDLE)","1A20",1160,"2/25/1977",102,284,NA,96,28,"March_1",295
"MCBRIDE (LOWER)","1A22",790,"2/25/1977",43,132,NA,114,31,"March_1",116
"BROOKMERE","1C01",994,"2/25/1977",28,69,NA,41,25,"March_1",167
"PORCUPINE RIDGE","1C02",1830,"2/25/1977",89,203,NA,63,23,"March_1",321
"TRANQUILLE LAKE","1C03",1420,"2/25/1977",51,99,NA,55,19,"March_1",180
"PASS LAKE","1C04",870,"2/25/1977",8,15,NA,19,19,"March_1",79
"GREEN MOUNTAIN","1C12",1630,"2/25/1977",84,196,NA,37,23,"March_1",525
"MISSION RIDGE","1C18",1850,"2/25/1977",94,234,NA,50,25,"March_1",468
"ABERDEEN LAKE","1F01A",1262,"2/25/1977",41,86,NA,65,21,"March_1",133
"DOWNIE SLIDE (LOWER)","2A27",964,"2/25/1977",130,378,NA,61,29,"March_1",618
"DOWNIE(S8)","2A28",1250,"2/25/1977",147,399,NA,NA,27,"March_1",NA
"FERNIE","2C02",1070,"2/25/1977",0,0,NA,0,NA,"March_1",145
"SULLIVAN MINE","2C04",1580,"2/25/1977",41,53,NA,23,13,"March_1",235
"UPPER ELK RIVER","2C06",1340,"2/25/1977",3,3,"A",3,10,"March_1",92
"FERNIE EAST","2C07",1213,"2/25/1977",41,61,NA,23,15,"March_1",270
"MORRISSEY RIDGE","2C09",1860,"2/25/1977",94,246,NA,46,26,"March_1",536
"GRAY CREEK (LOWER)","2D05",1558,"2/25/1977",86,201,NA,53,23,"March_1",378
"GRAY CREEK (UPPER)","2D10",1926,"2/25/1977",135,356,NA,59,26,"March_1",607
"TROUT CREEK","2F01",1428,"2/25/1977",41,69,NA,44,17,"March_1",156
"WHITEROCKS MOUNTAIN","2F09",1789,"2/25/1977",66,180,NA,40,27,"March_1",450
"LOST HORSE MOUNTAIN","2G04",1988,"2/25/1977",48,97,"A",54,20,"March_1",178
"MISSEZULA MOUNTAIN","2G05",1602,"2/25/1977",38,76,NA,42,20,"March_1",182
"FORBIDDEN PLATEAU","3B01",1110,"2/25/1977",135,290,NA,24,21,"March_1",1203
"NEWCASTLE RIDGE","3B14",1170,"2/25/1977",94,290,NA,22,31,"March_1",1340
"WOLF RIVER (UPPER)","3B17",1490,"2/25/1977",130,305,NA,30,23,"March_1",1014
"WOLF RIVER (MIDDLE)","3B18",1050,"2/25/1977",63,71,NA,14,11,"March_1",509
"MC LEOD LAKE","4A01",980,"2/25/1977",58,152,NA,68,26,"March_1",224
"TUTIZZI LAKE","4A06",1043,"2/25/1977",76,168,NA,73,22,"March_1",230
"PULPIT LAKE","4A09",1331,"2/25/1977",112,295,NA,79,26,"March_1",372
"FREDRICKSON LAKE","4A10",1323,"2/25/1977",81,193,NA,91,24,"March_1",213
"TRYGVE LAKE","4A11",1409,"2/25/1977",102,262,NA,82,26,"March_1",319
